 0.110101, acc 0.97
2017-06-30T15:06:07.717502: step 33528, loss 0.0473409, acc 0.99
2017-06-30T15:06:09.085469: step 33529, loss 0, acc 1
2017-06-30T15:06:10.429608: step 33530, loss 0, acc 1
2017-06-30T15:06:11.774740: step 33531, loss 0, acc 1
2017-06-30T15:06:13.148433: step 33532, loss 0, acc 1
2017-06-30T15:06:14.510133: step 33533, loss 0.0268761, acc 0.98
2017-06-30T15:06:15.861507: step 33534, loss 0.00410225, acc 0.99
2017-06-30T15:06:17.215492: step 33535, loss 0, acc 1
2017-06-30T15:06:18.579396: step 33536, loss 0, acc 1
2017-06-30T15:06:19.932802: step 33537, loss 0.00843598, acc 0.99
2017-06-30T15:06:21.308954: step 33538, loss 0.11085, acc 0.98
2017-06-30T15:06:22.667343: step 33539, loss 0, acc 1
2017-06-30T15:06:24.036395: step 33540, loss 0, acc 1
2017-06-30T15:06:25.394092: step 33541, loss 0, acc 1
2017-06-30T15:06:26.755506: step 33542, loss 0, acc 1
2017-06-30T15:06:28.100402: step 33543, loss 0.00864296, acc 0.99
2017-06-30T15:06:29.452291: step 33544, loss 0, acc 1
2017-06-30T15:06:30.819166: step 33545, loss 0, acc 1
2017-06-30T15:06:32.177893: step 33546, loss 0, acc 1
2017-06-30T15:06:33.518911: step 33547, loss 0.0510864, acc 0.98
2017-06-30T15:06:34.877619: step 33548, loss 0, acc 1
2017-06-30T15:06:36.243208: step 33549, loss 0.144338, acc 0.99
2017-06-30T15:06:37.592938: step 33550, loss 0, acc 1
2017-06-30T15:06:38.951157: step 33551, loss 0.111796, acc 0.99
2017-06-30T15:06:40.314958: step 33552, loss 0.00565909, acc 0.99
2017-06-30T15:06:41.669961: step 33553, loss 0, acc 1
2017-06-30T15:06:43.017387: step 33554, loss 0.0494586, acc 0.99
2017-06-30T15:06:44.381865: step 33555, loss 0.00189804, acc 0.99
2017-06-30T15:06:45.725292: step 33556, loss 0.0289116, acc 0.99
